,LocYear,d1: 0 to 4,d1: 12 to 14,d1: 15 to 17,d1: 5 to 11,d2: Female,d2: Male,d3: Foreign-born,d3: Native-born,d4: H or L,d4: AI or AN,d4: A,d4: B,d4: NH or PI,d4: 2 or more,d4: W,d5
20,AK2007,-0.2572914596292647,-0.25746554638864405,-0.255438712585703,-0.2586059176862608,-0.2577768090649873,-0.2575792301566339,-0.2193511456398644,-0.24395246044064056,-0.22798352456208207,0.23285035170924895,-0.21366644310427405,-0.24693211261213058,-0.09889382126428209,-0.19881188713311249,-0.25273983404227174,-0.22554134140058757
21,AK2008,-0.25693770772781577,-0.2579842976237367,-0.25633190478873524,-0.25856861621654154,-0.2579395114890284,-0.2576781986136302,-0.2193511456398644,-0.24395246044064056,-0.22784310512356296,0.22558602604326744,-0.2128072067845203,-0.2470357431601499,-0.08566235587315868,-0.19679864666565444,-0.2532122185202996,-0.22554134140058757
22,AK2009,-0.2561504132182577,-0.2580709655056287,-0.25675539032276035,-0.25800909417075246,-0.25760143987504763,-0.25732837116247903,-0.21561757222676156,-0.24365926567118704,-0.22760873231527107,0.22489619666800953,-0.21050070220937014,-0.2469817507737869,-0.07358409159410564,-0.19277216573073833,-0.25312010238984634,-0.22554134140058757
23,AK2010,-0.2556398313071664,-0.2581632856406875,-0.2571963649348868,-0.25767310666776644,-0.25733478261363263,-0.2572346115716404,-0.22308471905296726,-0.24277968136282643,-0.22742644235326623,0.22206648841440044,-0.2094437654974607,-0.24715591976205464,-0.05731788643437594,-0.1888618332843294,-0.2531622258464858,-0.22554134140058757
24,AK2011,-0.2552636751186257,-0.25814570085305727,-0.25756426018494694,-0.25761221750395996,-0.25727275913923303,-0.2571650211197735,-0.21188399881365874,-0.24321947351700673,-0.22723802499758058,0.22658557472986568,-0.20902555312943896,-0.24713589032840383,-0.04408642104325252,-0.18771002743996637,-0.25335548456238643,-0.22554134140058757
25,AK2012,-0.25532774351855475,-0.2579051660794005,-0.25783908855511073,-0.25759109828948656,-0.2572828051949457,-0.2571852315204654,-0.2081504254005559,-0.24351266828646026,-0.22684178687288664,0.23028812831543377,-0.2085870637981192,-0.24724474594607118,-0.028123689860383445,-0.1872583388735495,-0.25373343843432156,-0.22554134140058757
26,AK2013,-0.25520314423771107,-0.25791395847321563,-0.2581326552232402,-0.2575507797891282,-0.25731600085730033,-0.25715772870715276,-0.2193511456398644,-0.2429262787475532,-0.22655737368286794,0.2320338189793518,-0.20791285476845991,-0.24717594919570543,-0.01489222446926003,-0.18654531620799145,-0.2540771380667916,-0.22554134140058757
27,AK2014,-0.2552192596021104,-0.2582976836604331,-0.2583500194796425,-0.2576838034127594,-0.2574793584588879,-0.2573112860814818,-0.21561757222676156,-0.24321947351700673,-0.22639193405348543,0.23110466104533092,-0.20808267433608088,-0.24735621409856254,-0.013799718152561764,-0.1861323438044103,-0.2544509258825755,-0.22554134140058757
28,AK2015,-0.255261316772616,-0.25862237420346323,-0.2583431487703884,-0.25768709471891116,-0.25753810604555516,-0.2573854603355674,-0.21561757222676156,-0.24336607090173348,-0.22613458351889038,0.22951383003708303,-0.20808267433608088,-0.2474790032352913,-0.005848699958813289,-0.1858000300734036,-0.2547076012309993,-0.22554134140058757
29,AK2016,-0.25536076036269,-0.2586355627941859,-0.2583306565717446,-0.2574045909408902,-0.25745205939445154,-0.2573058688606778,-0.21188399881365874,-0.24321947351700673,-0.22585017032887167,0.2296123770906913,-0.20752252322497297,-0.24736405170303458,0.008111102976775638,-0.18519670320254678,-0.25483674897168496,-0.2227527788982585
30,AK2017,-0.25571608449481203,-0.2586361908223156,-0.2586123556511625,-0.2574204989206234,-0.25755120959648464,-0.2575058893211335,-0.21188399881365874,-0.24365926567118704,-0.22571026150649262,0.22914779812368086,-0.20701052990169788,-0.24733444297502907,0.020796315209549925,-0.1847579200237418,-0.25535426572468367,-0.22554134140058757
31,AK2018,-0.2563186419002801,-0.25881015461422924,-0.2590258474262725,-0.2574391496554831,-0.2578159013252602,-0.2577825842914306,-0.21561757222676156,-0.24380586305591379,-0.2256653272861665,0.22544524453811277,-0.20777851988661053,-0.24744591112752043,0.021646042344759683,-0.1850773283671366,-0.2557822122704326,-0.22135842792954555
32,AK2019,-0.25691294509471435,-0.2588748415115834,-0.2593262848036561,-0.2576177030142128,-0.2581199037068243,-0.2580649048371779,-0.21561757222676156,-0.2442456552100941,-0.22580319364398527,0.22165822204945188,-0.20825249390370182,-0.24773677333792757,0.023770360182784087,-0.185161213386614,-0.25617474733889667,-0.2227527788982585
33,AK2020,-0.25769002010489717,-0.2581287440935567,-0.258837215226751,-0.2576689925350768,-0.2581841111063788,-0.25804386101790083,-0.1521468242040133,-0.12396250104178205,-0.22638325357910424,0.22773998307213406,-0.2082195438383425,-0.24773938587275157,0.02601606761155274,-0.18423202547855647,-0.25613401256764096,-0.15861263433746206
34,AK2021,-0.25814439476942497,-0.2580138149458303,-0.25888531019152966,-0.2577702001992416,-0.25831121555039477,-0.25821825385686065,-0.21561757222676156,-0.24439225259482086,-0.2260722883498019,0.21947610871955434,-0.20874167564326662,-0.2477602861513437,0.03354222223769634,-0.18314797291915597,-0.25652076144700625,-0.22135842792954555
