,LocYear,educ4,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ13,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ19
30,AK2018,-0.69199911654049,-0.6167630709569882,-0.5480825288456607,-1.0203535135577013,2.295186358629971,-1.2208473377688065,-0.13546002260801102,-0.2359713511100333,-0.24859623878739345,-0.23201750364231083,-0.1749672356161533,-0.24198617828383387,1.6760873752829113,-2.822383049044759
31,AK2019,-0.69199911654049,-0.017193091182278887,-1.102817246695781,-0.6289459057569671,2.0651159376070645,-0.5523005301055458,-3.2829661426342334,-0.236811079771018,-0.24931161895451237,-0.24484104040697618,-0.15175232474355943,-0.23951869894386196,1.3400640047600068,-2.6579290985611834
32,AK2020,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.17220136867878433,-0.16898939926032508,-0.19050973990405187,-0.15950870851641205,-0.1682009925104903,-0.004029477331609247,-0.02666589082397953
33,AK2021,-0.69199911654049,-0.017193091182278887,-0.2707151699206001,-0.6289459057569671,1.3749046745383473,-1.2208473377688065,-0.13546002260801102,-0.24878956214094664,-0.2568314290832971,-0.24079150248129239,-0.17019407637132092,-0.25008521761401376,2.348134116328719,-3.315744900495485
34,AK2022,-0.69199911654049,-0.017193091182278887,-0.5480825288456607,0.15386930984450026,1.3749046745383473,-1.2208473377688065,-3.2829661426342334,-0.2473076880333266,-0.25797936470030186,-0.24011657949367843,-0.17095344261481699,-0.250538428105029,1.004040634237103,-3.315744900495485
35,AK2023,-0.69199911654049,-1.2163330507316976,-1.102817246695781,-0.23753829795623344,1.8350455165841577,-0.5523005301055458,-0.13546002260801102,-0.17220136867878433,-0.16898939926032508,-0.19050973990405187,-0.15950870851641205,-0.1682009925104903,0.3319938931912943,-4.138014652913362
36,AK2024,-1.2668174167402557,-0.6167630709569882,-0.5480825288456607,-0.23753829795623344,1.3749046745383473,-0.5523005301055458,-3.2829661426342334,-0.17220136867878433,-0.16898939926032508,-0.19050973990405187,-0.15950870851641205,-0.1682009925104903,-0.004029477331609247,-0.02666589082397953
37,AL1988,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.20507427596615552,-0.15782614130365571,0.1191674242461565,-0.20740302230262792,-0.17761350298592735,-0.004029477331609247,-0.02666589082397953
38,AL1989,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1950963236415139,-0.1521030999667045,0.012304617873945115,-0.20686061784298787,-0.17523834430153262,-0.004029477331609247,-0.02666589082397953
39,AL1990,-0.11718081634072425,-0.017193091182278887,0.006652189004460531,-0.23753829795623344,-0.0055178515990918844,-0.21802712627391574,-0.13546002260801102,-0.1884031922554301,-0.15325103558370926,-0.05001327131574448,-0.17540115918386534,-0.170999986931853,-0.004029477331609247,-0.02666589082397953
