,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth28,hth30,hth31,hth32,hth33,target
3681,SC2006,1.0478888670424664,-0.05965422636996764,-0.059654226369968005,1.2538006542072,-0.09424211210583246,1.099297017414678,-0.16440509598888728,-0.14302831402997038,1.8603936533867844,-0.14713805830487503,-0.17168646955981257,-0.1280344726337781,Medium
3682,SC2007,0.8752045618356222,0.25658209925807957,0.2565820992580792,1.397448648001335,2.1112258058366207,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3683,SC2007,0.8752045618356222,0.25658209925807957,0.2565820992580792,1.397448648001335,-0.09424211210583246,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3684,SC2007,0.8752045618356222,0.25658209925807957,-0.059654226369968005,1.397448648001335,2.1112258058366207,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3685,SC2007,0.8752045618356222,0.25658209925807957,-0.059654226369968005,1.397448648001335,-0.09424211210583246,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3686,SC2007,0.8752045618356222,-0.05965422636996764,0.2565820992580792,1.397448648001335,2.1112258058366207,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3687,SC2007,0.8752045618356222,-0.05965422636996764,0.2565820992580792,1.397448648001335,-0.09424211210583246,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3688,SC2007,0.8752045618356222,-0.05965422636996764,-0.059654226369968005,1.397448648001335,2.1112258058366207,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3689,SC2007,0.8752045618356222,-0.05965422636996764,-0.059654226369968005,1.397448648001335,-0.09424211210583246,1.7248279274351406,-0.1473385346448034,-0.14131235981627324,1.9162292528873526,-0.13458681542535772,-0.17042505688962767,-0.1252549895603013,Medium
3690,SC2008,0.7696752642092167,0.3883472349364327,0.3883472349364323,1.569826240554296,1.9166256954299334,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3691,SC2008,0.7696752642092167,0.3883472349364327,0.3883472349364323,1.569826240554296,-0.09424211210583246,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3692,SC2008,0.7696752642092167,0.3883472349364327,-0.059654226369968005,1.569826240554296,1.9166256954299334,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3693,SC2008,0.7696752642092167,0.3883472349364327,-0.059654226369968005,1.569826240554296,-0.09424211210583246,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3694,SC2008,0.7696752642092167,-0.05965422636996764,0.3883472349364323,1.569826240554296,1.9166256954299334,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3695,SC2008,0.7696752642092167,-0.05965422636996764,0.3883472349364323,1.569826240554296,-0.09424211210583246,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3696,SC2008,0.7696752642092167,-0.05965422636996764,-0.059654226369968005,1.569826240554296,1.9166256954299334,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3697,SC2008,0.7696752642092167,-0.05965422636996764,-0.059654226369968005,1.569826240554296,-0.09424211210583246,0.7865315624044467,-0.16834353322213738,-0.14467741288469232,1.2462020588805343,-0.14827908038483115,-0.17007386813486028,-0.1252549895603013,Medium
3698,SC2009,-3.0197858778298863,0.4674063163434446,0.4674063163434442,1.598555839313123,1.3976920676787685,0.7865315624044467,-0.1617794711667205,-0.1484881683462795,1.6370512553845116,-0.15398419078461173,-0.17446551934881369,-0.1374919345201538,Medium
3699,SC2009,-3.0197858778298863,0.4674063163434446,0.4674063163434442,1.598555839313123,-0.09424211210583246,0.7865315624044467,-0.1617794711667205,-0.1484881683462795,1.6370512553845116,-0.15398419078461173,-0.17446551934881369,-0.1374919345201538,Medium
3700,SC2009,-3.0197858778298863,0.4674063163434446,-0.059654226369968005,1.598555839313123,1.3976920676787685,0.7865315624044467,-0.1617794711667205,-0.1484881683462795,1.6370512553845116,-0.15398419078461173,-0.17446551934881369,-0.1374919345201538,Medium
3701,SC2009,-3.0197858778298863,0.4674063163434446,-0.059654226369968005,1.598555839313123,-0.09424211210583246,0.7865315624044467,-0.1617794711667205,-0.1484881683462795,1.6370512553845116,-0.15398419078461173,-0.17446551934881369,-0.1374919345201538,Medium
3702,SC2009,-3.0197858778298863,-0.05965422636996764,0.4674063163434442,1.598555839313123,1.3976920676787685,0.7865315624044467,-0.1617794711667205,-0.1484881683462795,1.6370512553845116,-0.15398419078461173,-0.17446551934881369,-0.1374919345201538,Medium
