,LocYear,safe1: 1,safe1: 2,safe4,safe5,safe6,safe7,safe9_10,safe1112: E,safe1112: M,Neglect,safe1112: P,safe1112: S,safe1920: 1,safe1920: 2,safe212223
78,AR2008,1.0594832556067917,0.23366455069021322,-0.1662146557274642,-0.16895741578925644,-0.1967572572731051,-0.22531474675940277,0.6454484870528373,-0.2242845833943807,0.14823396497100466,-0.18682255272766596,-0.15460730992754107,0.005272644430957586,0.01797544041851785,-0.9854757932067111,0.1487698195854659
79,AR2009,0.701373501534055,-0.3430256988528641,-0.1546094982343042,-0.16157949899613616,-0.18221588505691735,-0.22670542135632227,1.0831861577934583,-0.21892952171276156,0.178677695815779,-0.1675167445830821,-0.11732070827486712,0.0152707466362324,-0.6504862501451536,-1.3262495806677685,-0.3931773803330164
80,AR2010,0.34326374746131827,-0.7755433860101727,-0.15971099420173443,-0.167834029281662,-0.1831247208204291,-0.22506189683269015,1.5209238285340794,-0.24132341601771443,0.17360374067498327,-0.1521647394775347,-0.12476485312778612,0.005519511152075484,-0.6504862501451536,-1.3262495806677685,-0.9351245802514995
81,AR2011,0.701373501534055,-0.48719826123863363,-0.16370865770837564,-0.1659212360390012,-0.1837306113294369,-0.19105358168984093,1.3020549931637688,-0.240998866824889,0.1456969874006068,-0.15481163690952562,-0.14913948671698993,-0.011267425883941487,-0.6504862501451536,-1.1558626869372401,-0.9351245802514995
82,AR2012,0.34326374746131827,-0.054680574081325845,-0.16400699080588618,-0.16507110570892972,-0.16676567707721787,-0.21576966202600087,1.3020549931637688,-0.23467015756479365,0.17817030030169942,-0.1587323537306622,-0.14630675902959597,-0.006330091461583555,-0.6504862501451536,-1.3262495806677685,-0.9351245802514995
83,AR2013,-0.014846006611418971,0.08949198830444369,-0.16543898967393678,-0.17077912363940959,-0.16858334860424135,-0.21760282399466746,1.0831861577934583,-0.2406743176320636,0.25174264984323735,-0.1733564620424121,-0.1528944978374889,-0.01632819366685837,-0.6504862501451536,-0.9854757932067111,-0.9351245802514995
84,AR2014,-0.3729557606841557,-0.054680574081325845,-0.17307631697020656,-0.17712473931744308,-0.16070677198713965,-0.21507432472754112,0.8643173224231478,-0.23872702247511118,0.2674719107797041,-0.194978305439988,-0.15025940231433174,-0.04459443323485753,-0.6504862501451536,-0.8150888994761821,0.1487698195854659
85,AR2015,-0.3729557606841557,-0.48719826123863363,-0.15747349597040539,-0.18295420443793317,-0.16116118986889552,-0.2095116263398632,0.8643173224231478,-0.23710427651098417,0.34256644686348076,-0.1920336320468981,-0.1438692956706756,-0.050889534623363895,-0.6504862501451536,-1.1558626869372401,-2.0190189800884646
86,AR2016,-0.3729557606841557,-0.6313708236244032,-0.15633983019986533,-0.17712473931744308,-0.15843468257836033,-0.20470747773232315,1.0831861577934583,-0.23791564949304767,0.3958429758418358,-0.1859623110622689,-0.1443304373872281,-0.0399039655336175,-0.6504862501451536,-0.9854757932067111,-2.0190189800884646
87,AR2017,-0.3729557606841557,-0.9197159483959423,-0.16603565586895785,-0.1660426832290114,-0.12617101297369374,-0.19636343015080623,0.8643173224231478,-0.2327228624078412,0.4663709522988963,-0.19320819278234408,-0.14314464440180738,-0.06372660412149452,-0.6504862501451536,-0.9854757932067111,-2.0190189800884646
