,LocYear,hth1_2,hth3_4,hth5_6,hth7,hth8_9,hth10,hth11,hth12,hth13,hth14,hth151617,hth1819,hth2021,hth2223,hth2425,hth26,hth27,hth28,hth29,hth30,hth31,hth32,hth33
942,GA2009,0.511,N.C.,N.C.,0.45,0.07,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
943,GA2009,0.511,N.C.,N.C.,0.45,N.C.,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
944,GA2009,0.511,N.C.,N.C.,0.45,0.07,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
945,GA2009,0.511,N.C.,N.C.,0.45,N.C.,27.0,396,0.12,,0.28,,,,,,0.29,1049,13190.0,0.22,0.14,327,141377.0,16345.0
946,GA2010,0.531,N.C.,N.C.,0.46,0.07,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
947,GA2010,0.531,N.C.,N.C.,0.46,N.C.,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
948,GA2010,0.531,N.C.,N.C.,0.46,0.07,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
949,GA2010,0.531,N.C.,N.C.,0.46,N.C.,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
950,GA2010,0.531,N.C.,N.C.,0.46,0.07,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
951,GA2010,0.531,N.C.,N.C.,0.46,N.C.,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
952,GA2010,0.531,N.C.,N.C.,0.46,0.07,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
953,GA2010,0.531,N.C.,N.C.,0.46,N.C.,30.0,415,0.1,,0.29,,,,,,,860,12912.0,0.24,0.138,377,133947.0,14378.0
954,GA2011,0.718,N.A.,N.A.,0.45,0.07,27.0,360,0.1,,,0.17,0.76,0.74,0.1,0.19,0.31,905,12333.0,,0.132,347,132409.0,12991.0
955,GA2012,0.779,0.08,0.08,0.45,0.07,24.0,336,0.09,,,,,,,,,815,12014.0,,0.127,306,130280.0,11488.0
956,GA2013,0.731,0.07,0.07,0.45,0.07,28.0,385,0.1,,,,,,,,0.28,894,12064.0,,0.127,356,128748.0,10322.0
957,GA2014,0.764,0.06,0.06,0.45,0.08,26.0,363,0.08,,0.26,,,,,,,976,12385.0,0.2,0.13,324,130946.0,9661.0
958,GA2015,0.774,0.06,0.06,0.45,0.08,29.0,381,0.07,,0.23,,,,,,N.R.,1024,12464.0,0.18,0.12,396,131404.0,8829.0
959,GA2016,0.809,0.05,0.05,0.45,0.08,30.0,366,0.07,0.09,0.22,0.23,0.82,0.09,0.09,0.21,,976,12704.0,0.16,0.13,434,130042.0,8248.0
