,LocYear,econ1,econ2,econ3,econ4,econ5,econ6,econ7,econ8,econ9,econ10,econ11,econ12: 16-19,econ12: 16-24,econ12: 20-24
678,HI2016,0.05,0.27,0.1,0.31,0.51,0.4,0.26,0.04,0.17,80500.0,0.03,0.08,0.11,0.13
679,HI2017,0.06,0.23,0.12,0.33,0.52,0.36,0.26,0.03,0.15,87100.0,0.02,0.09,0.11,0.12
680,HI2018,0.06,0.22,0.12,0.32,0.5,0.35,0.26,0.03,0.15,89600.0,0.03,0.06,0.09,0.11
681,HI2019,0.06,0.23,0.12,0.31,0.56,0.38,0.24,0.04,0.16,93300.0,0.02,0.1,0.11,0.12
682,HI2020,,,,,,,,0.14,,,0.11,,,
683,HI2021,0.06,0.29,0.14,0.29,0.57,0.39,0.31,0.09,0.13,93900.0,0.06,0.1,0.13,0.15
684,HI2022,0.07,0.27,0.13,0.29,0.57,0.38,0.28,0.04,0.16,103000.0,0.03,0.07,0.1,0.13
685,HI2022,0.07,0.27,0.13,0.29,0.57,0.38,0.28,0.04,0.16,103000.0,0.03,0.07,0.1,0.13
686,HI2023,0.05,0.26,0.11,0.32,0.58,0.35,0.28,0.04,0.15,112400.0,0.03,0.07,0.11,0.14
687,HI2024,0.08,0.26,0.12,,,,0.27,0.03,,109900.0,0.02,,,
688,Houston2008,,,,,,,0.3,,,,,,,
689,Houston2009,,,,,,,0.35,,,,,,,
690,Houston2010,,,,,,,0.38,,,,,,,
691,Houston2011,,,,,,,0.38,,,,,,,
692,Houston2012,,,,,,,0.36,,,,,,,
693,Houston2013,,,,,,,0.34,,,,,,,
694,Houston2014,,,,,,,0.33,,,,,,,
695,Houston2015,,,,,,,0.33,,,,,,,
696,Houston2016,,,,,,,0.33,,,,,,,
697,Houston2017,,,,,,,0.32,,,,,,,
698,Houston2018,,,,,,,0.31,,,,,,,
699,Houston2019,,,,,,,0.29,,,,,,,
700,Houston2021,,,,,,,0.38,,,,,,,
701,Houston2022,,,,,,,0.38,,,,,,,
702,Houston2023,,,,,,,0.31,,,,,,,
703,IA2000,0.05,,0.13,0.07,,,0.23,,,,,,,
704,IA2001,0.04,,0.13,0.07,,,0.24,,,,,,,
705,IA2002,0.05,,0.14,0.07,,,0.28,,,,,,,
706,IA2003,0.05,,0.12,0.05,,,0.26,,,,,,,
707,IA2004,0.05,,0.12,0.06,,,0.25,,,,,,,
708,IA2005,0.06,0.18,0.14,0.07,,0.25,0.26,,,55000.0,,,,
709,IA2006,0.06,,0.14,0.06,0.76,0.26,0.27,,,55500.0,,,,
710,IA2007,0.06,,0.14,0.07,0.77,0.25,0.27,0.04,,59300.0,0.03,,,
711,IA2008,0.06,0.18,0.14,0.07,0.77,0.25,0.21,0.05,0.2,60600.0,0.03,0.04,0.07,0.09
712,IA2009,0.06,,0.16,0.07,0.75,0.25,0.22,0.08,0.22,59300.0,0.05,0.06,0.09,0.11
713,IA2010,0.07,0.24,0.16,0.07,0.74,0.27,0.25,0.07,0.21,59500.0,0.05,0.06,0.09,0.12
714,IA2011,0.08,,0.17,0.08,0.74,0.26,0.24,0.06,0.22,61300.0,0.05,0.06,0.09,0.12
715,IA2012,0.06,,0.16,0.07,0.72,0.23,0.23,0.06,0.22,62200.0,0.04,0.05,0.09,0.12
716,IA2013,0.07,0.26,0.16,0.08,0.72,0.22,0.23,0.06,0.22,65300.0,0.04,0.05,0.08,0.11
717,IA2014,0.07,0.25,0.15,0.08,0.72,0.22,0.22,0.06,0.22,66900.0,0.04,0.05,0.09,0.12
718,IA2015,0.07,0.23,0.15,0.07,0.72,0.21,0.22,0.05,0.22,68700.0,0.03,0.05,0.08,0.11
719,IA2016,0.06,0.23,0.15,0.09,0.71,0.2,0.22,0.05,0.2,72200.0,0.03,0.04,0.07,0.09
720,IA2017,0.05,0.21,0.12,0.09,0.74,0.19,0.19,0.04,0.21,74900.0,0.03,0.05,0.08,0.1
721,IA2018,0.05,0.21,0.14,0.08,0.73,0.19,0.2,0.04,0.21,76700.0,0.03,0.05,0.08,0.1
722,IA2019,0.05,0.2,0.13,0.09,0.72,0.2,0.2,0.05,0.21,77900.0,0.03,0.07,0.09,0.1
723,IA2020,,,,,,,,0.07,,,0.05,,,
724,IA2021,0.05,0.21,0.13,0.07,0.78,0.2,0.21,0.05,0.18,85700.0,0.03,0.04,0.08,0.1
725,IA2022,0.06,0.17,0.12,0.08,0.78,0.2,0.18,0.02,0.19,94200.0,0.01,0.04,0.07,0.1
726,IA2022,0.06,0.17,0.12,0.08,0.78,0.2,0.18,0.02,0.19,94200.0,0.01,0.04,0.07,0.1
727,IA2023,0.05,0.19,0.14,0.1,0.78,0.2,0.2,0.03,0.2,94100.0,0.02,0.05,0.07,0.1
728,IA2024,0.07,0.18,0.14,,,,0.2,0.04,,96800.0,0.02,,,
729,ID2000,0.05,,0.14,0.12,,,0.3,,,,,,,
730,ID2001,0.06,,0.15,0.15,,,0.33,,,,,,,
731,ID2002,0.06,,0.16,0.11,,,0.32,,,,,,,
732,ID2003,0.06,,0.18,0.13,,,0.35,,,,,,,
733,ID2004,0.06,,0.2,0.11,,,0.36,,,,,,,
734,ID2005,0.07,0.17,0.18,0.11,,0.3,0.33,,,46300.0,,,,
735,ID2006,0.06,,0.15,0.11,0.71,0.31,0.31,,,49300.0,,,,
736,ID2007,0.06,,0.16,0.1,0.71,0.33,0.32,0.03,,52600.0,0.02,,,
737,ID2008,0.07,0.17,0.16,0.09,0.69,0.34,0.26,0.06,0.26,51700.0,0.05,0.08,0.12,0.15
738,ID2009,0.07,,0.18,0.11,0.69,0.36,0.29,0.11,0.25,50000.0,0.09,0.09,0.16,0.21
739,ID2010,0.07,0.26,0.19,0.12,0.7,0.36,0.31,0.1,0.28,50200.0,0.08,0.11,0.14,0.18
740,ID2011,0.09,,0.2,0.13,0.67,0.34,0.31,0.08,0.27,50900.0,0.07,0.09,0.16,0.21
741,ID2012,0.08,,0.21,0.11,0.64,0.32,0.28,0.07,0.29,50700.0,0.05,0.09,0.13,0.17
742,ID2013,0.07,0.28,0.19,0.13,0.64,0.28,0.26,0.07,0.3,52300.0,0.05,0.08,0.14,0.19
743,ID2014,0.07,0.27,0.19,0.12,0.65,0.28,0.24,0.04,0.3,55800.0,0.03,0.07,0.13,0.18
744,ID2015,0.06,0.27,0.18,0.12,0.66,0.25,0.25,0.04,0.29,57300.0,0.03,0.07,0.12,0.17
745,ID2016,0.07,0.25,0.18,0.12,0.66,0.23,0.24,0.04,0.27,60100.0,0.03,0.07,0.12,0.16
746,ID2017,0.06,0.2,0.15,0.11,0.69,0.24,0.24,0.03,0.26,63200.0,0.02,0.06,0.12,0.18
747,ID2018,0.06,0.2,0.14,0.13,0.69,0.24,0.23,0.03,0.29,64600.0,0.02,0.09,0.12,0.15
748,ID2019,0.05,0.19,0.13,0.11,0.73,0.24,0.21,0.02,0.27,72500.0,0.02,0.05,0.09,0.13
749,ID2020,,,,,,,,0.05,,,0.04,,,
750,ID2021,0.05,0.2,0.13,0.13,0.73,0.22,0.21,0.03,0.23,80600.0,0.03,0.07,0.1,0.13
751,ID2022,0.06,0.17,0.13,0.13,0.74,0.25,0.23,0.02,0.21,87100.0,0.02,0.07,0.1,0.12
752,ID2022,0.06,0.17,0.13,0.13,0.74,0.25,0.23,0.02,0.21,87100.0,0.02,0.07,0.1,0.12
753,ID2023,0.04,0.17,0.11,0.13,0.75,0.27,0.2,0.03,0.24,92300.0,0.03,0.08,0.11,0.13
754,ID2024,0.05,0.14,0.11,,,,0.22,0.03,,100300.0,0.02,,,
755,IL2000,0.07,,0.15,0.13,,,0.29,,,,,,,
756,IL2001,0.07,,0.15,0.13,,,0.31,,,,,,,
757,IL2002,0.08,,0.16,0.12,,,0.31,,,,,,,
758,IL2003,0.08,,0.16,0.13,,,0.32,,,,,,,
759,IL2004,0.08,,0.17,0.11,,,0.32,,,,,,,
760,IL2005,0.08,0.18,0.16,0.11,,0.39,0.32,,,60400.0,,,,
761,IL2006,0.08,,0.17,0.1,0.7,0.41,0.31,,,62000.0,,,,
762,IL2007,0.08,,0.17,0.11,0.71,0.41,0.31,0.06,,63400.0,0.04,,,
763,IL2008,0.07,0.19,0.17,0.1,0.7,0.41,0.26,0.08,0.19,66900.0,0.05,0.07,0.12,0.15
764,IL2009,0.09,,0.19,0.11,0.68,0.41,0.31,0.12,0.19,63800.0,0.09,0.09,0.14,0.18
765,IL2010,0.09,0.25,0.19,0.11,0.67,0.42,0.32,0.13,0.2,62300.0,0.1,0.08,0.14,0.18
766,IL2011,0.1,,0.22,0.12,0.65,0.42,0.31,0.12,0.21,62200.0,0.09,0.08,0.13,0.18
767,IL2012,0.09,,0.21,0.12,0.65,0.38,0.29,0.1,0.22,65700.0,0.08,0.07,0.13,0.18
768,IL2013,0.09,0.28,0.21,0.12,0.64,0.36,0.3,0.11,0.22,66300.0,0.08,0.07,0.13,0.18
769,IL2014,0.09,0.29,0.2,0.12,0.63,0.34,0.29,0.07,0.22,67500.0,0.05,0.07,0.13,0.17
770,IL2015,0.08,0.28,0.19,0.11,0.63,0.32,0.27,0.06,0.22,70400.0,0.04,0.06,0.12,0.16
771,IL2016,0.08,0.26,0.18,0.11,0.65,0.31,0.26,0.07,0.21,73500.0,0.05,0.07,0.11,0.14
772,IL2017,0.08,0.26,0.17,0.11,0.65,0.3,0.26,0.06,0.2,75700.0,0.04,0.06,0.11,0.15
773,IL2018,0.07,0.24,0.16,0.1,0.66,0.29,0.25,0.04,0.2,80000.0,0.03,0.06,0.1,0.14
774,IL2019,0.06,0.23,0.16,0.1,0.68,0.28,0.24,0.05,0.21,86600.0,0.03,0.06,0.1,0.14
775,IL2020,,,,,,,,0.09,,,0.07,,,
776,IL2021,0.08,0.29,0.16,0.1,0.7,0.28,0.27,0.06,0.17,90600.0,0.04,0.06,0.12,0.17
777,IL2022,0.08,0.28,0.16,0.1,0.71,0.28,0.26,0.05,0.19,95900.0,0.03,0.06,0.11,0.14
778,IL2022,0.08,0.28,0.16,0.1,0.71,0.28,0.26,0.05,0.19,95900.0,0.03,0.06,0.11,0.14
779,IL2023,0.07,0.27,0.15,0.1,0.72,0.26,0.24,0.04,0.18,103600.0,0.03,0.05,0.1,0.13
780,IL2024,0.07,0.26,0.14,,,,0.25,0.05,,107200.0,0.04,,,
781,IN2000,0.06,,0.14,0.11,,,0.27,,,,,,,
782,IN2001,0.06,,0.13,0.06,,,0.27,,,,,,,
783,IN2002,0.07,,0.15,0.08,,,0.3,,,,,,,
784,IN2003,0.06,,0.14,0.08,,,0.3,,,,,,,
785,IN2004,0.06,,0.15,0.09,,,0.33,,,,,,,
786,IN2005,0.08,0.19,0.17,0.07,,0.29,0.32,,,52700.0,,,,
787,IN2006,0.08,,0.18,0.07,0.72,0.3,0.32,,,53900.0,,,,
788,IN2007,0.08,,0.17,0.07,0.72,0.29,0.32,0.05,,55800.0,0.04,,,
789,IN2008,0.08,0.2,0.18,0.08,0.72,0.31,0.28,0.06,0.21,56700.0,0.05,0.08,0.12,0.16
790,IN2009,0.09,,0.2,0.08,0.68,0.31,0.32,0.13,0.21,54100.0,0.09,0.09,0.15,0.2
791,IN2010,0.1,0.26,0.22,0.09,0.68,0.32,0.33,0.13,0.23,51800.0,0.1,0.08,0.14,0.2
792,IN2011,0.12,,0.23,0.09,0.68,0.31,0.33,0.11,0.22,54200.0,0.09,0.09,0.15,0.2
793,IN2012,0.1,,0.22,0.09,0.66,0.28,0.3,0.11,0.24,55700.0,0.08,0.08,0.13,0.18
794,IN2013,0.1,0.28,0.22,0.09,0.66,0.28,0.3,0.08,0.24,56000.0,0.06,0.07,0.13,0.18
795,IN2014,0.09,0.28,0.22,0.09,0.66,0.27,0.3,0.06,0.25,56800.0,0.05,0.07,0.13,0.17
796,IN2015,0.09,0.26,0.21,0.09,0.65,0.25,0.28,0.05,0.24,60900.0,0.04,0.06,0.12,0.16
797,IN2016,0.09,0.25,0.2,0.09,0.66,0.24,0.28,0.04,0.24,63400.0,0.03,0.07,0.11,0.14
798,IN2017,0.08,0.22,0.18,0.08,0.68,0.23,0.26,0.04,0.22,66100.0,0.03,0.07,0.12,0.15
799,IN2018,0.08,0.21,0.18,0.09,0.68,0.22,0.26,0.03,0.23,67800.0,0.03,0.06,0.1,0.14
800,IN2019,0.07,0.2,0.15,0.08,0.7,0.21,0.27,0.03,0.22,71100.0,0.02,0.07,0.11,0.14
801,IN2020,,,,,,,,0.07,,,0.05,,,
802,IN2021,0.08,0.22,0.16,0.09,0.72,0.21,0.27,0.04,0.2,77800.0,0.03,0.06,0.11,0.15
803,IN2022,0.08,0.2,0.16,0.09,0.73,0.22,0.25,0.03,0.21,83500.0,0.02,0.05,0.1,0.14
804,IN2022,0.08,0.2,0.16,0.09,0.73,0.22,0.25,0.03,0.21,83500.0,0.02,0.05,0.1,0.14
805,IN2023,0.07,0.19,0.15,0.09,0.74,0.23,0.23,0.04,0.22,87800.0,0.03,0.05,0.09,0.12
806,IN2024,0.08,0.2,0.16,,,,0.23,0.03,,90000.0,0.02,,,
807,Indianapolis2008,,,,,,,0.32,,,,,,,
808,Indianapolis2009,,,,,,,0.39,,,,,,,
809,Indianapolis2010,,,,,,,0.43,,,,,,,
810,Indianapolis2011,,,,,,,0.41,,,,,,,
811,Indianapolis2012,,,,,,,0.38,,,,,,,
812,Indianapolis2013,,,,,,,0.38,,,,,,,
813,Indianapolis2014,,,,,,,0.4,,,,,,,
814,Indianapolis2015,,,,,,,0.37,,,,,,,
815,Indianapolis2016,,,,,,,0.36,,,,,,,
816,Indianapolis2017,,,,,,,0.3,,,,,,,
817,Indianapolis2018,,,,,,,0.33,,,,,,,
818,Indianapolis2019,,,,,,,0.33,,,,,,,
819,Indianapolis2021,,,,,,,0.35,,,,,,,
820,Indianapolis2022,,,,,,,0.31,,,,,,,
821,Indianapolis2023,,,,,,,0.26,,,,,,,
822,Jacksonville2008,,,,,,,0.28,,,,,,,
823,Jacksonville2009,,,,,,,0.34,,,,,,,
824,Jacksonville2010,,,,,,,0.36,,,,,,,
825,Jacksonville2011,,,,,,,0.36,,,,,,,
826,Jacksonville2012,,,,,,,0.38,,,,,,,
827,Jacksonville2013,,,,,,,0.37,,,,,,,
828,Jacksonville2014,,,,,,,0.38,,,,,,,
829,Jacksonville2015,,,,,,,0.34,,,,,,,
830,Jacksonville2016,,,,,,,0.29,,,,,,,
831,Jacksonville2017,,,,,,,0.3,,,,,,,
832,Jacksonville2018,,,,,,,0.29,,,,,,,
833,Jacksonville2019,,,,,,,0.3,,,,,,,
834,Jacksonville2021,,,,,,,0.29,,,,,,,
835,Jacksonville2022,,,,,,,0.3,,,,,,,
836,Jacksonville2023,,,,,,,0.29,,,,,,,
837,KS2000,0.04,,0.12,0.08,,,0.22,,,,,,,
838,KS2001,0.05,,0.13,0.07,,,0.23,,,,,,,
839,KS2002,0.07,,0.16,0.08,,,0.29,,,,,,,
840,KS2003,0.07,,0.14,0.09,,,0.27,,,,,,,
841,KS2004,0.04,,0.12,0.05,,,0.27,,,,,,,
842,KS2005,0.06,0.15,0.15,0.08,,0.26,0.28,,,51700.0,,,,
843,KS2006,0.06,,0.16,0.07,0.71,0.28,0.28,,,54300.0,,,,
844,KS2007,0.06,,0.15,0.08,0.73,0.26,0.27,0.05,,58900.0,0.03,,,
845,KS2008,0.06,0.15,0.15,0.07,0.72,0.28,0.22,0.06,0.23,59500.0,0.04,0.05,0.08,0.11
846,KS2009,0.07,,0.18,0.1,0.69,0.27,0.25,0.08,0.24,56800.0,0.06,0.07,0.11,0.14
847,KS2010,0.08,0.2,0.18,0.08,0.68,0.3,0.27,0.09,0.23,57400.0,0.07,0.06,0.1,0.13
848,KS2011,0.07,,0.19,0.1,0.68,0.3,0.25,0.08,0.24,58900.0,0.06,0.06,0.11,0.15
849,KS2012,0.07,,0.19,0.1,0.67,0.27,0.24,0.06,0.26,60300.0,0.04,0.07,0.1,0.13
850,KS2013,0.07,0.22,0.19,0.09,0.65,0.27,0.24,0.06,0.23,62600.0,0.04,0.06,0.1,0.13
851,KS2014,0.08,0.21,0.18,0.09,0.66,0.26,0.25,0.05,0.23,63100.0,0.04,0.06,0.11,0.14
852,KS2015,0.07,0.2,0.17,0.09,0.67,0.24,0.23,0.04,0.24,65900.0,0.03,0.05,0.11,0.15
853,KS2016,0.06,0.17,0.14,0.09,0.65,0.21,0.2,0.04,0.24,67600.0,0.03,0.06,0.1,0.12
854,KS2017,0.06,0.17,0.15,0.11,0.67,0.22,0.21,0.04,0.24,68900.0,0.03,0.05,0.09,0.13
855,KS2018,0.06,0.17,0.15,0.09,0.69,0.22,0.21,0.04,0.23,72500.0,0.03,0.06,0.08,0.1
856,KS2019,0.06,0.14,0.15,0.08,0.69,0.22,0.21,0.02,0.23,75700.0,0.02,0.05,0.09,0.12
857,KS2020,,,,,,,,0.06,,,0.04,,,
858,KS2021,0.06,0.16,0.13,0.09,0.7,0.2,0.23,0.03,0.2,83400.0,0.03,0.06,0.1,0.14
859,KS2022,0.06,0.15,0.14,0.09,0.73,0.23,0.2,0.03,0.21,90700.0,0.02,0.06,0.1,0.12
860,KS2022,0.06,0.15,0.14,0.09,0.73,0.23,0.2,0.03,0.21,90700.0,0.02,0.06,0.1,0.12
861,KS2023,0.06,0.15,0.13,0.09,0.72,0.21,0.19,0.03,0.21,90600.0,0.02,0.05,0.08,0.1
862,KS2024,0.06,0.14,0.13,,,,0.19,0.02,,100700.0,0.02,,,
863,KY2000,0.09,,0.22,0.09,,,0.34,,,,,,,
864,KY2001,0.08,,0.19,0.07,,,0.33,,,,,,,
865,KY2002,0.09,,0.21,0.07,,,0.35,,,,,,,
866,KY2003,0.11,,0.24,0.08,,,0.39,,,,,,,
867,KY2004,0.11,,0.25,0.07,,,0.38,,,,,,,
868,KY2005,0.11,0.26,0.22,0.08,,0.27,0.38,,,45300.0,,,,
869,KY2006,0.1,,0.23,0.07,0.68,0.28,0.37,,,47600.0,,,,
870,KY2007,0.11,,0.24,0.08,0.66,0.29,0.38,0.06,,48500.0,0.04,,,
871,KY2008,0.12,0.28,0.23,0.07,0.66,0.29,0.33,0.08,0.21,50700.0,0.06,0.1,0.16,0.21
872,KY2009,0.12,,0.26,0.09,0.63,0.31,0.38,0.12,0.22,47800.0,0.1,0.1,0.18,0.24
873,KY2010,0.13,0.32,0.26,0.09,0.63,0.32,0.37,0.13,0.22,48300.0,0.1,0.11,0.18,0.24
874,KY2011,0.13,,0.27,0.09,0.64,0.32,0.37,0.1,0.23,50400.0,0.08,0.08,0.16,0.22
875,KY2012,0.12,,0.27,0.09,0.62,0.29,0.35,0.11,0.23,51400.0,0.08,0.09,0.17,0.23
876,KY2013,0.11,0.33,0.25,0.08,0.63,0.27,0.34,0.09,0.23,52500.0,0.07,0.08,0.15,0.2
877,KY2014,0.12,0.33,0.26,0.11,0.61,0.28,0.35,0.07,0.24,51900.0,0.06,0.08,0.15,0.2
878,KY2015,0.12,0.32,0.26,0.1,0.6,0.26,0.34,0.05,0.24,53600.0,0.04,0.09,0.13,0.17
879,KY2016,0.12,0.29,0.25,0.1,0.62,0.26,0.33,0.06,0.25,56300.0,0.05,0.08,0.14,0.18
880,KY2017,0.11,0.28,0.22,0.1,0.64,0.23,0.31,0.06,0.23,61400.0,0.05,0.07,0.13,0.19
881,KY2018,0.11,0.27,0.23,0.09,0.64,0.25,0.32,0.05,0.24,62000.0,0.04,0.08,0.14,0.18
882,KY2019,0.11,0.26,0.22,0.11,0.63,0.23,0.31,0.04,0.23,65100.0,0.03,0.08,0.13,0.18
883,KY2020,,,,,,,,0.07,,,0.06,,,
884,KY2021,0.12,0.31,0.22,0.1,0.68,0.24,0.33,0.05,0.21,69200.0,0.04,0.09,0.15,0.19
885,KY2022,0.1,0.28,0.21,0.09,0.69,0.23,0.28,0.05,0.24,76300.0,0.03,0.08,0.14,0.18
886,KY2022,0.1,0.28,0.21,0.09,0.69,0.23,0.28,0.05,0.24,76300.0,0.03,0.08,0.14,0.18
887,KY2023,0.11,0.27,0.21,0.09,0.68,0.23,0.29,0.05,0.24,77800.0,0.04,0.06,0.12,0.17
888,KY2024,0.1,0.26,0.19,,,,0.28,0.06,,83600.0,0.04,,,
889,Kansas City2008,,,,,,,0.3,,,,,,,
890,Kansas City2009,,,,,,,0.39,,,,,,,
891,Kansas City2010,,,,,,,0.37,,,,,,,
892,Kansas City2011,,,,,,,0.37,,,,,,,
893,Kansas City2012,,,,,,,0.38,,,,,,,
894,Kansas City2013,,,,,,,0.38,,,,,,,
895,Kansas City2014,,,,,,,0.33,,,,,,,
896,Kansas City2015,,,,,,,0.28,,,,,,,
897,Kansas City2016,,,,,,,0.32,,,,,,,
898,Kansas City2017,,,,,,,0.31,,,,,,,
899,Kansas City2018,,,,,,,0.27,,,,,,,
900,Kansas City2019,,,,,,,0.23,,,,,,,
901,Kansas City2021,,,,,,,0.28,,,,,,,
902,Kansas City2022,,,,,,,0.27,,,,,,,
903,Kansas City2023,,,,,,,0.22,,,,,,,
904,LA2000,0.11,,0.27,0.13,,,0.39,,,,,,,
905,LA2001,0.14,,0.27,0.17,,,0.39,,,,,,,
906,LA2002,0.11,,0.27,0.13,,,0.39,,,,,,,
907,LA2003,0.15,,0.3,0.14,,,0.4,,,,,,,
908,LA2004,0.15,,0.3,0.14,,,0.4,,,,,,,
909,LA2005,0.13,0.36,0.28,0.14,,0.31,0.42,,,43300.0,,,,
910,LA2006,0.13,,0.28,0.14,0.65,0.32,0.43,,,46200.0,,,,
911,LA2007,0.12,,0.27,0.13,0.65,0.31,0.4,0.05,,47800.0,0.04,,,
912,LA2008,0.11,0.32,0.25,0.12,0.64,0.31,0.32,0.05,0.24,51400.0,0.04,0.11,0.16,0.21
913,LA2009,0.11,,0.24,0.12,0.64,0.31,0.33,0.05,0.22,51900.0,0.05,0.11,0.17,0.22
914,LA2010,0.12,0.35,0.27,0.14,0.61,0.32,0.36,0.07,0.23,49600.0,0.06,0.14,0.2,0.24
915,LA2011,0.14,,0.29,0.13,0.61,0.33,0.35,0.08,0.25,51300.0,0.06,0.12,0.18,0.23
916,LA2012,0.13,,0.28,0.11,0.59,0.32,0.36,0.07,0.26,50900.0,0.06,0.11,0.17,0.22
917,LA2013,0.14,0.35,0.28,0.12,0.6,0.31,0.34,0.08,0.25,52300.0,0.06,0.12,0.2,0.25
918,LA2014,0.14,0.34,0.28,0.12,0.57,0.32,0.34,0.08,0.26,52100.0,0.06,0.11,0.18,0.22
919,LA2015,0.14,0.33,0.28,0.12,0.58,0.32,0.34,0.07,0.26,54800.0,0.05,0.11,0.17,0.21
920,LA2016,0.12,0.35,0.29,0.12,0.59,0.31,0.35,0.08,0.25,54300.0,0.06,0.11,0.17,0.21
921,LA2017,0.14,0.35,0.28,0.12,0.59,0.3,0.33,0.05,0.26,57200.0,0.04,0.1,0.17,0.22
922,LA2018,0.12,0.31,0.26,0.11,0.59,0.31,0.33,0.05,0.27,58100.0,0.04,0.11,0.17,0.22
923,LA2019,0.13,0.3,0.27,0.12,0.62,0.29,0.33,0.05,0.25,61300.0,0.04,0.09,0.14,0.18
924,LA2020,,,,,,,,0.08,,,0.07,,,
925,LA2021,0.14,0.39,0.27,0.12,0.62,0.3,0.35,0.06,0.23,64200.0,0.04,0.11,0.18,0.24
926,LA2022,0.11,0.36,0.25,0.1,0.65,0.31,0.3,0.04,0.27,71800.0,0.03,0.09,0.15,0.2
927,LA2022,0.11,0.36,0.25,0.1,0.65,0.31,0.3,0.04,0.27,71800.0,0.03,0.09,0.15,0.2
928,LA2023,0.13,0.35,0.25,0.1,0.65,0.31,0.32,0.04,0.26,73100.0,0.03,0.09,0.15,0.19
929,LA2024,0.13,0.32,0.25,,,,0.33,0.05,,77700.0,0.04,,,
930,Las Vegas2008,,,,,,,0.23,,,,,,,
931,Las Vegas2009,,,,,,,0.38,,,,,,,
932,Las Vegas2010,,,,,,,0.38,,,,,,,
933,Las Vegas2011,,,,,,,0.37,,,,,,,
934,Las Vegas2012,,,,,,,0.34,,,,,,,
935,Las Vegas2013,,,,,,,0.38,,,,,,,
936,Las Vegas2014,,,,,,,0.37,,,,,,,
937,Las Vegas2015,,,,,,,0.37,,,,,,,
938,Las Vegas2016,,,,,,,0.33,,,,,,,
939,Las Vegas2017,,,,,,,0.3,,,,,,,
940,Las Vegas2018,,,,,,,0.32,,,,,,,
941,Las Vegas2019,,,,,,,0.28,,,,,,,
942,Las Vegas2021,,,,,,,0.38,,,,,,,
943,Las Vegas2022,,,,,,,0.28,,,,,,,
944,Las Vegas2023,,,,,,,0.27,,,,,,,
945,Long Beach2008,,,,,,,0.38,,,,,,,
946,Long Beach2009,,,,,,,0.4,,,,,,,
947,Long Beach2010,,,,,,,0.4,,,,,,,
948,Long Beach2011,,,,,,,0.41,,,,,,,
949,Long Beach2012,,,,,,,0.44,,,,,,,
950,Long Beach2013,,,,,,,0.37,,,,,,,
951,Long Beach2014,,,,,,,0.33,,,,,,,
952,Long Beach2015,,,,,,,0.36,,,,,,,
953,Long Beach2016,,,,,,,0.37,,,,,,,
954,Long Beach2017,,,,,,,0.32,,,,,,,
955,Long Beach2018,,,,,,,0.33,,,,,,,
956,Long Beach2019,,,,,,,0.36,,,,,,,
957,Long Beach2021,,,,,,,0.39,,,,,,,
958,Long Beach2022,,,,,,,0.32,,,,,,,
959,Long Beach2023,,,,,,,0.3,,,,,,,
960,Los Angeles2008,,,,,,,0.34,,,,,,,
961,Los Angeles2009,,,,,,,0.38,,,,,,,
962,Los Angeles2010,,,,,,,0.41,,,,,,,
963,Los Angeles2011,,,,,,,0.41,,,,,,,
964,Los Angeles2012,,,,,,,0.39,,,,,,,
965,Los Angeles2013,,,,,,,0.38,,,,,,,
966,Los Angeles2014,,,,,,,0.37,,,,,,,
967,Los Angeles2015,,,,,,,0.36,,,,,,,
968,Los Angeles2016,,,,,,,0.35,,,,,,,
969,Los Angeles2017,,,,,,,0.32,,,,,,,
970,Los Angeles2018,,,,,,,0.31,,,,,,,
971,Los Angeles2019,,,,,,,0.33,,,,,,,
972,Los Angeles2021,,,,,,,0.39,,,,,,,
973,Los Angeles2022,,,,,,,0.35,,,,,,,
974,Los Angeles2023,,,,,,,0.34,,,,,,,
975,Louisville2008,,,,,,,0.35,,,,,,,
976,Louisville2009,,,,,,,0.41,,,,,,,
977,Louisville2010,,,,,,,0.37,,,,,,,
978,Louisville2011,,,,,,,0.4,,,,,,,
979,Louisville2012,,,,,,,0.36,,,,,,,
980,Louisville2013,,,,,,,0.33,,,,,,,
981,Louisville2014,,,,,,,0.33,,,,,,,
982,Louisville2015,,,,,,,0.34,,,,,,,
983,Louisville2016,,,,,,,0.33,,,,,,,
984,Louisville2017,,,,,,,0.33,,,,,,,
985,Louisville2018,,,,,,,0.37,,,,,,,
986,Louisville2019,,,,,,,0.32,,,,,,,
987,Louisville2021,,,,,,,0.35,,,,,,,
988,Louisville2022,,,,,,,0.29,,,,,,,
989,Louisville2023,,,,,,,0.33,,,,,,,
990,MA2000,0.08,,0.14,0.1,,,0.31,,,,,,,
991,MA2001,0.05,,0.12,0.08,,,0.28,,,,,,,
992,MA2002,0.07,,0.12,0.06,,,0.3,,,,,,,
993,MA2003,0.06,,0.12,0.07,,,0.31,,,,,,,
994,MA2004,0.06,,0.13,0.06,,,0.31,,,,,,,
995,MA2005,0.07,0.13,0.14,0.07,,0.4,0.31,,,72300.0,,,,
996,MA2006,0.06,,0.12,0.06,0.71,0.44,0.3,,,76500.0,,,,
997,MA2007,0.06,,0.13,0.05,0.71,0.42,0.32,0.05,,80000.0,0.04,,,
998,MA2008,0.05,0.16,0.12,0.07,0.7,0.42,0.26,0.06,0.12,80300.0,0.05,0.05,0.09,0.12
