,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ18,educ19
48,AL1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4390.0,10759.0,490.0,356.0,15995.0,,,
49,AL2000,,,,,,,,,0.01,,,,0.08,0.18,0.05,0.52,0.17,0.53,0.16,0.47,0.84,,,,,,,,,0.55,0.13,0.45,0.87,0.58,0.22,0.42,0.78,,,,,,,,,,4686.0,10456.0,516.0,436.0,16094.0,0.17,0.17,0.28
50,AL2001,,,,,,,,,0.01,,,,0.08,0.17,0.05,0.56,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615.0,10726.0,173.0,611.0,17125.0,0.19,0.19,0.35
51,AL2002,,,,,,,,,0.02,,,,0.08,0.17,0.06,0.54,0.14,,,,,0.64,0.21,0.36,0.79,0.79,0.2,0.21,0.8,,,,,,,,,0.77,0.15,0.23,0.85,,,,,,5810.0,10862.0,225.0,680.0,17577.0,0.2,0.2,0.35
52,AL2003,,,,,,,,,0.01,0.074,0.077,0.075,0.07,0.17,0.06,0.54,0.16,0.53,0.16,0.47,0.84,0.65,0.22,0.35,0.78,,,,,0.65,0.19,0.35,0.81,,,,,,,,,0.31,,,,,6103.0,11038.0,190.0,785.0,18116.0,0.17,0.17,0.37
53,AL2004,,,,,,,,,0.01,,,,0.08,0.18,0.08,0.51,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6129.0,11125.0,183.0,852.0,18289.0,0.18,0.18,0.37
54,AL2005,0.08,0.14,0.08,0.53,0.17,,,,0.02,,,,0.08,0.18,0.06,0.52,0.16,0.53,0.15,0.47,0.85,0.63,0.22,0.37,0.78,,,,,0.66,0.21,0.34,0.79,0.58,0.21,0.42,0.79,,,,,0.21,,,,,5638.0,11408.0,338.0,830.0,18214.0,0.19,0.19,0.36
55,AL2006,0.08,0.15,0.08,0.52,0.17,,,,0.02,,,,0.08,0.16,0.06,0.54,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6260.0,10999.0,797.0,951.0,19007.0,0.18,0.18,0.41
56,AL2007,0.07,0.15,0.08,0.54,0.16,,,,0.02,0.061,0.069,0.065,0.07,0.16,0.07,0.54,0.16,0.55,0.18,0.45,0.82,0.62,0.21,0.38,0.79,0.84,0.24,0.16,0.76,0.7,0.26,0.3,0.74,,,,,,,,,0.22,,,,,6643.0,10234.0,330.0,1000.0,18207.0,0.18,0.18,0.42
57,AL2008,0.08,0.16,0.08,0.52,0.16,,,,0.01,,,,0.08,0.18,0.06,0.52,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6714.0,10165.0,195.0,1027.0,18101.0,0.18,,0.4
58,AL2009,0.09,0.16,0.09,0.51,0.15,,,,0.01,,,,0.08,0.18,0.06,0.52,0.16,0.58,0.2,0.42,0.8,0.66,0.24,0.34,0.76,,,,,0.7,0.24,0.3,0.76,,,,,,,,,0.2,0.84,0.57,0.58,0.79,6654.0,11046.0,244.0,1040.0,18984.0,0.19,,0.45
59,AL2010,0.09,0.15,0.09,0.51,0.16,,,,0.02,,,,0.07,0.18,0.07,0.51,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6721.0,10880.0,344.0,1810.0,19755.0,0.21,,0.44
60,AL2011,0.09,0.15,0.09,0.52,0.15,14,0.09,0.1,0.02,0.08,0.059,0.07,0.09,0.17,0.08,0.51,0.16,0.6,0.2,0.4,0.8,0.69,0.26,0.31,0.74,,,,,0.75,0.27,0.25,0.73,,,,,,,,,0.22,0.82,0.5,0.56,0.73,6609.0,11112.0,173.0,1929.0,19823.0,0.21,,0.45
61,AL2012,0.09,0.16,0.09,0.51,0.14,,,,0.02,,,,0.08,0.19,0.07,0.52,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6208.0,10941.0,909.0,1952.0,20010.0,0.2,,0.45
