,LocYear,educ1: A,educ1: B,educ1: G,educ1: H,educ1: N,educ2,educ3: IS,educ3: OS,educ4,educ5: 3,educ5: 1,educ5: 2,educ6: A,educ6: B,educ6: G,educ6: H,educ6: N,educ7: 1,educ7: 2,educ7: 3,educ7: 4,educ8: 1,educ8: 2,educ8: 3,educ8: 4,educ9: 1,educ9: 2,educ9: 3,educ9: 4,educ10: 1,educ10: 2,educ10: 3,educ10: 4,educ11: 1,educ11: 2,educ11: 3,educ11: 4,educ12: 1,educ12: 2,educ12: 3,educ12: 4,educ13,educ14: yes,educ14: no,educ15: no,educ15: yes,educ16: 3y,educ16: 4y,educ16: 5-y,educ16: -3y,educ16: tot,Data,educ18,educ19
77,AR1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429.0,5715.0,82.0,114.0,8340.0,,,
78,AR1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2713.0,6374.0,87.0,243.0,9417.0,,,
79,AR1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904.0,6660.0,47.0,303.0,9914.0,,,
80,AR1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087.0,7025.0,70.0,268.0,10450.0,,,
81,AR1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359.0,7127.0,185.0,375.0,11046.0,,,
82,AR1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3201.0,7203.0,206.0,368.0,10978.0,,,
83,AR1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3542.0,6834.0,51.0,400.0,10827.0,,,
84,AR1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3973.0,6426.0,542.0,419.0,11360.0,,,
85,AR1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3545.0,5884.0,72.0,452.0,9953.0,,,
86,AR2000,,,,,,,,,0.01,,,,0.05,0.16,0.04,0.61,0.16,0.49,0.13,0.51,0.87,,,,,,,,,0.55,0.14,0.45,0.86,0.62,0.23,0.38,0.77,,,,,,,,,,4167.0,6918.0,312.0,675.0,12072.0,0.16,0.16,0.31
87,AR2001,,,,,,,,,0.02,,,,0.06,0.16,0.04,0.59,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310.0,7177.0,73.0,815.0,12375.0,0.19,0.19,0.32
88,AR2002,,,,,,,,,0.02,,,,0.07,0.2,0.06,0.55,0.13,,,,,0.72,0.27,0.28,0.73,0.79,0.19,0.21,0.81,,,,,,,,,0.82,0.19,0.18,0.81,,,,,,4436.0,7251.0,56.0,1003.0,12746.0,0.2,0.2,0.31
89,AR2003,,,,,,,,,0.02,0.049,0.059,0.053,0.05,0.16,0.06,0.58,0.15,0.58,0.19,0.42,0.81,0.7,0.27,0.3,0.73,,,,,0.71,0.26,0.29,0.74,,,,,,,,,0.25,,,,,4548.0,7462.0,44.0,1114.0,13168.0,0.22,0.22,0.31
90,AR2004,,,,,,,,,0.03,,,,0.05,0.17,0.04,0.6,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380.0,7169.0,280.0,1144.0,12973.0,0.17,0.17,0.35
91,AR2005,0.06,0.13,0.06,0.59,0.16,,,,0.02,,,,0.06,0.16,0.05,0.58,0.15,0.64,0.22,0.36,0.78,0.69,0.26,0.31,0.74,,,,,0.78,0.34,0.22,0.66,0.64,0.24,0.36,0.76,,,,,0.23,,,,,5015.0,6991.0,112.0,1137.0,13255.0,0.19,0.19,0.33
92,AR2006,0.07,0.13,0.06,0.57,0.16,,,,0.02,,,,0.06,0.15,0.05,0.59,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4743.0,6456.0,949.0,1232.0,13380.0,0.17,0.17,0.39
93,AR2007,0.07,0.13,0.06,0.56,0.18,,,,0.03,0.061,0.077,0.069,0.07,0.16,0.05,0.58,0.14,0.65,0.24,0.35,0.76,0.7,0.25,0.3,0.75,0.85,0.27,0.15,0.73,0.81,0.37,0.19,0.63,,,,,,,,,0.28,,,,,4660.0,5521.0,38.0,1269.0,11488.0,0.19,0.19,0.39
94,AR2008,0.06,0.14,0.06,0.58,0.17,,,,0.02,,,,0.06,0.14,0.06,0.58,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4746.0,5358.0,39.0,1418.0,11561.0,0.2,,0.37
95,AR2009,0.07,0.14,0.06,0.58,0.15,,,,0.02,,,,0.07,0.16,0.06,0.59,0.13,0.67,0.27,0.33,0.73,0.69,0.27,0.31,0.73,,,,,0.8,0.36,0.2,0.64,,,,,,,,,0.2,0.8,0.58,0.58,0.75,4882.0,5322.0,44.0,1392.0,11640.0,0.2,,0.38
96,AR2010,0.08,0.13,0.07,0.57,0.16,,,,0.02,,,,0.08,0.17,0.06,0.56,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5358.0,5961.0,65.0,1914.0,13298.0,0.22,,0.4
97,AR2011,0.08,0.14,0.07,0.57,0.14,15,0.12,0.08,0.03,0.073,0.043,0.059,0.07,0.16,0.07,0.57,0.13,0.7,0.29,0.3,0.71,0.71,0.28,0.29,0.72,,,,,0.81,0.37,0.19,0.63,,,,,,,,,0.24,0.8,0.52,0.47,0.73,4969.0,5467.0,322.0,2055.0,12813.0,0.19,,0.41
98,AR2012,0.08,0.15,0.07,0.55,0.15,,,,0.02,,,,0.07,0.16,0.07,0.58,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4686.0,5210.0,65.0,1891.0,11852.0,0.2,,0.43
